timestamp;left_pos_x;left_pos_y;left_pos_z;left_rot_x;left_rot_y;left_rot_z;left_rot_w;right_pos_x;right_pos_y;right_pos_z;right_rot_x;right_rot_y;right_rot_z;right_rot_w;obj_pos_x;obj_pos_y;obj_pos_z;obj_rot_x;obj_rot_y;obj_rot_z;obj_rot_w
68;-0,03047796;0,1975102;0,3153145;-0,0976176;0,05009067;0,07436968;0,9911765;0,1801058;0,1964907;0,2468661;-0,2192351;0,02080943;-0,1317116;0,966517;-0,0003290453;-0,1092028;0,2110231;0,1361159;-0,1937798;0,0008189268;0,9715561
69;-0,02901565;0,1986385;0,3142991;-0,1005605;0,05573271;0,06894875;0,9909731;0,1803782;0,1970111;0,2462862;-0,2206188;0,01952715;-0,1357858;0,9656647;-0,0003245385;-0,1095416;0,2117665;0,1362624;-0,1961102;0,0006896436;0,9710679
70;-0,02849252;0,1999913;0,3142586;-0,1082307;0,04408223;0,05779995;0,9914646;0,180943;0,1964473;0,2457602;-0,2197446;0,01775482;-0,1383471;0,9655347;-0,0003186489;-0,1099844;0,2127379;0,1364523;-0,1991487;0,0005209776;0,9704227
71;-0,02873598;0,2027741;0,3134149;-0,1254605;0,03567031;0,05153743;0,9901168;0,181109;0,1964473;0,2457097;-0,219002;0,01946402;-0,13655;0,9659262;-0,0003150402;-0,1102557;0,2133331;0,1365678;-0,201007;0,000417774;0,9700233
72;-0,02903876;0,2050623;0,3134726;-0,1220838;0,0457974;0,06158755;0,989548;0,181659;0,1964248;0,2451925;-0,2210024;0,0207711;-0,1363835;0,9654667;-0,0003110665;-0,1105545;0,2139886;0,1366943;-0,2030498;0,0003042671;0,96958
73;-0,02894401;0,2050733;0,3137939;-0,1157442;0,04449704;0,0591322;0,9905184;0,1823148;0,1965037;0,2446016;-0,2207927;0,01966552;-0,1401865;0,9649931;-0,0003067343;-0,1108802;0,2147031;0,1368313;-0,2052729;0,0001806894;0,9690925
74;-0,02870908;0,2067603;0,3140403;-0,1173062;0,04273653;0,05710998;0,9905308;0,1824294;0,1965851;0,24426;-0,2208734;0,01905445;-0,1416649;0,964771;-0,0003023836;-0,1112073;0,2154207;0,1369681;-0,2075015;5,674165E-05;0,9685984
75;-0,02868626;0,2070478;0,3139627;-0,1160336;0,04219362;0,05771854;0,9906687;0,1822105;0,1966755;0,2442759;-0,2202415;0,01965292;-0,14064;0,9650533;-0,000300047;-0,111383;0,2158061;0,1370411;-0,2086967;-9,753682E-06;0,9683313
76;-0,02858804;0,2083008;0,3144431;-0,1135048;0,03985433;0,0585338;0,9910107;0,182086;0,196749;0,2441849;-0,2205759;0,02022509;-0,1400158;0,9650558;-0,0002977553;-0,1115553;0,2161841;0,1371125;-0,2098678;-7,492915E-05;0,968068
77;-0,02867407;0,2093046;0,3149119;-0,1119604;0,03439698;0,05783391;0,9914318;0,1819635;0,1967869;0,243911;-0,2211653;0,02054107;-0,1398453;0,964939;-0,0002954;-0,1117324;0,2165726;0,1371857;-0,2110704;-0,0001418702;0,9677961
78;-0,02870271;0,2098238;0,3151645;-0,1091435;0,03211065;0,05741356;0,9918469;0,1818663;0,1968081;0,2437517;-0,2215149;0,02066505;-0,1398962;0,9648488;-0,0002927412;-0,1119323;0,2170112;0,1372679;-0,2124261;-0,0002173601;0,9674878
79;-0,02851701;0,2102443;0,3154282;-0,1061939;0,03322659;0,0576022;0,9921194;0,1817348;0,1967959;0,2435974;-0,2213926;0,02046625;-0,1401172;0,964849;-0,0002908173;-0,1120769;0,2173285;0,1373272;-0,2134062;-0,0002719474;0,9672636
80;-0,02786474;0,2103198;0,3161293;-0,1014933;0,03720288;0,05719032;0,992494;0,1814492;0,196744;0,2433605;-0,221425;0,01988246;-0,14017;0,9648461;-0,0002886704;-0,1122383;0,2176826;0,1373932;-0,2144992;-0,000332836;0,9670125
81;-0,0271576;0,2104533;0,3168512;-0,0997366;0,04054753;0,05620956;0,9925972;0,1812078;0,196695;0,243236;-0,2215656;0,01960319;-0,1400002;0,9648443;-0,0002863824;-0,1124103;0,21806;0,1374632;-0,2156626;-0,0003976664;0,9667437
82;-0,02625733;0,2104658;0,3178065;-0,09842867;0,04175018;0,05214126;0,9928998;0,1807681;0,1965629;0,2431676;-0,2212015;0,01916513;-0,1397418;0,964974;-0,0002841396;-0,112579;0,2184299;0,1375317;-0,216802;-0,0004611715;0,9664791
83;-0,02522066;0,2105136;0,3193034;-0,09539499;0,04208427;0,0464425;0,9934645;0,1800544;0,1963118;0,2432479;-0,2204877;0,01786248;-0,139451;0,9652044;-0,0002817906;-0,1127556;0,2188173;0,1376031;-0,2179943;-0,0005276421;0,9662006
84;-0,02455673;0,2105539;0,3212813;-0,09090003;0,03872827;0,04213668;0,9942142;0,1791315;0,1959346;0,2435204;-0,2195393;0,01568627;-0,1382967;0,9656244;-0,0002794842;-0,112929;0,2191978;0,137673;-0,2191638;-0,0005928639;0,965926
85;-0,02391807;0,2108015;0,3239357;-0,08499186;0,03565342;0,03823548;0,9950092;0,1778227;0,1952449;0,2443925;-0,2162529;0,01367906;-0,1343195;0,966957;-0,0002773299;-0,1130909;0,2195531;0,137738;-0,2202549;-0,0006537247;0,9656685
86;-0,02337671;0,2112983;0,3272293;-0,07955834;0,03554876;0,03649522;0,9955274;0,1770407;0,1948688;0,2453054;-0,2131204;0,01440148;-0,130704;0,9681368;-0,0002750287;-0,1132639;0,2199326;0,1378072;-0,2214195;-0,0007187009;0,9653922
87;-0,02299272;0,2120287;0,3308855;-0,07343822;0,03468076;0,03591773;0,9960492;0,1763993;0,1945875;0,2460966;-0,2118787;0,01439419;-0,1288915;0,9686522;-0,0002727904;-0,1134322;0,2203018;0,1378743;-0,2225513;-0,0007818628;0,9651223
