timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1678301090.35165,True,-3.21374840814399,-9.23250019702224,59.1794415145694,0.3163352,0.7393625,-0.4467774,-0.3920015
1678301090.43044,True,-2.19907773684708,-8.94680640931508,59.5404604871316,0.3342554,0.7283069,-0.4628134,-0.3790067
1678301090.49526,True,-1.52991587026113,-8.80044710889771,60.289711841807,0.3635194,0.7083776,-0.4896773,-0.3553463
1678301090.55894,True,-1.21265800462893,-8.60698670663775,61.3155984122915,0.4091801,0.6733303,-0.5293943,-0.3145469
1678301090.62277,True,-1.21140065740439,-8.42384972913758,62.3547103493801,0.4669501,0.6258166,-0.5683867,-0.2593221
1678301090.6866,False
1678301090.74943,False
1678301090.82922,False
1678301090.89405,False
1678301090.95787,False
1678301091.0217,False
1678301091.08553,False
1678301091.14936,False
1678301091.23015,False
1678301091.29398,False
1678301091.3578,False
1678301091.42163,False
1678301091.48546,False
1678301091.54929,False
1678301091.63107,True,-1.35402019286773,-8.49687763010854,62.625645679007,-0.5306772,-0.5699131,0.5941381,0.2014464
1678301091.6959,True,-1.59573335987049,-8.71327150896825,62.2543654493533,-0.5344237,-0.5708959,0.5911936,0.1973812
1678301091.75873,True,-1.86615753947657,-8.8046585368546,61.4674140889552,0.48945,0.6239332,-0.5614733,-0.2364189
1678301091.82356,True,-2.17733080306591,-8.73099192307475,60.3610777830059,0.4167548,0.6922909,-0.5098765,-0.2950841
1678301091.88739,True,-2.50774262107987,-8.36460892665753,58.7167969626591,0.3279577,0.755672,-0.4404185,-0.3569806
1678301091.95122,True,-2.86299063722254,-7.97038367045676,58.9842725339572,0.2476838,0.7906509,-0.3820991,-0.4092971
1678301092.03001,False
1678301092.09583,True,-2.94580595132557,-7.21039752362114,58.4397694146076,0.1488686,0.8254555,-0.2848065,-0.4640545
1678301092.15866,True,-2.75364435275889,-7.00329519992004,58.3285960704366,0.1023059,0.8311111,-0.2425391,-0.4898599
1678301092.22449,True,-2.59107291887245,-7.09516123790536,58.4072236432733,-0.06877445,-0.8298451,0.2228487,0.5069178
1678301092.28732,True,-2.51950989290588,-7.35258127398567,58.4563027522804,-0.04290755,-0.825572,0.2243983,0.5159799
1678301092.35115,True,-2.50280235478035,-7.6031710710663,58.2746070991729,-0.02136327,-0.821164,0.2363065,0.5190304
1678301092.43164,True,-2.58741440926716,-7.9193924985785,58.1637653540753,-0.00472968,-0.8179891,0.2503916,0.5178568
1678301092.49546,True,-2.90227556054678,-8.39506909302457,58.2975470696749,0.00705779,-0.8153,0.2638336,0.5153912
1678301092.55885,True,-3.54443037477694,-9.12838552217636,58.8415998287693,0.01516174,-0.8117847,0.2778317,0.5134055
1678301092.62233,True,-4.61213663564771,-9.99092826353448,59.2167728536757,0.02075578,-0.8091455,0.2857138,0.5130501
1678301092.68716,True,-6.04331776966527,-10.8632604357032,59.3102672764915,0.02527085,-0.8064667,0.2875376,0.5160378
1678301092.76762,True,-7.68491629307757,-11.6527584742095,58.8932931485872,0.02643902,-0.8030306,0.2863918,0.5219412
1678301092.83126,True,-9.29852018050801,-12.3756155275528,58.0542332949349,0.01875694,-0.7996017,0.2852665,0.5281178
1678301092.89509,True,-10.6551351998561,-12.9749118913046,56.8361085910249,0.005185504,-0.7982844,0.2843601,0.5308996
1678301092.95948,True,-11.5197373312265,-13.4197807381868,55.6771681775209,-0.007678155,-0.7990808,0.2849367,0.5293601
1678301093.02258,True,-11.819654406676,-13.7204009690428,55.0524331055295,-0.01571266,-0.8016465,0.2847979,0.5253629
1678301093.08641,True,-11.6796156237922,-13.790058798163,54.8416279006896,-0.01891684,-0.8059685,0.2859271,0.5179794
1678301093.1672,True,-11.2453315763004,-13.5549206551856,54.8731323238231,-0.02128142,-0.8102098,0.2889399,0.5095303
1678301093.23103,True,-10.672725453705,-13.1703921185336,55.1134301087921,0.0273917,0.8142766,-0.2940013,-0.4997665
1678301093.29585,True,-9.99906265040242,-12.7005714996247,55.4600445474708,0.03680658,0.818655,-0.2992073,-0.4887989
1678301093.35868,True,-9.13419599455344,-12.0795781556077,55.836660558961,0.04430361,0.8226805,-0.3050434,-0.4776845
1678301093.42351,True,-8.06732386682248,-11.268865192029,56.1762814192406,0.05091512,0.8262352,-0.3089125,-0.4683121
1678301093.48734,True,-6.88400891260917,-10.4566436545628,56.5348223514518,0.05965229,0.8288143,-0.3121037,-0.4605429
1678301093.56669,True,-5.66185470177012,-9.76466405753315,56.9819127148591,0.07120997,0.8305135,-0.3152526,-0.4536433
1678301093.63151,True,-4.39533392342163,-9.25754162578637,57.6160102482639,0.08677011,0.8307555,-0.3207699,-0.446568
1678301093.69534,True,-3.1595712875907,-9.00689440797377,58.5807807078285,0.1062159,0.8289407,-0.3310677,-0.4381434
1678301093.75917,True,-1.97395171013113,-8.98047172808115,58.5762884906554,0.1230293,0.8253706,-0.3416366,-0.4323329
1678301093.82101,False
1678301093.88683,True,-0.838749718956323,-9.6163627744046,60.7007105533101,0.1732294,0.8029485,-0.398573,-0.4079275
1678301093.96662,True,-0.0918402611465643,-9.98573763714448,62.3314437464028,0.2200741,0.7829562,-0.4364554,-0.3847775
1678301094.0309,True,0.477378631360355,-10.0822038712202,63.4199943078031,0.2560469,0.7728122,-0.4526693,-0.3637195
1678301094.09572,True,0.809647246863037,-10.1511503031013,64.1227682936562,0.2802595,0.774726,-0.4494904,-0.3452721
1678301094.15955,True,0.900516857886882,-10.212218066902,64.9493328004963,0.2973885,0.7800564,-0.4403297,-0.330427
1678301094.22338,True,0.807775166955918,-10.2796102589549,65.8595114498049,0.3071073,0.7856475,-0.4302422,-0.3214574
1678301094.28721,True,0.664170864305569,-10.2682969796668,66.5969299583041,0.3116149,0.7894098,-0.422747,-0.3178259
1678301094.367,True,0.52949557117438,-10.1293476425378,66.9850935062826,0.3123531,0.7903545,-0.4194598,-0.3191065
1678301094.43183,True,0.452179579043476,-9.96712474811273,66.778791958907,0.3092075,0.7895328,-0.4196597,-0.323905
1678301094.49466,True,0.409429918748302,-9.76460777239466,65.9457095044959,0.3034424,0.7894044,-0.4197041,-0.3295633
1678301094.55948,True,0.338190044572006,-9.51365259554806,64.7625594793178,0.2978972,0.7883005,-0.4209696,-0.3355954
1678301094.62232,True,0.168175841150649,-9.25067569469866,63.4025294328997,0.293301,0.7849117,-0.423452,-0.3443496
1678301094.68714,True,-0.0927748044918986,-8.97382129766893,61.8092846447041,0.2873338,0.7803225,-0.4261002,-0.3563351
1678301094.76793,True,-0.338971774288932,-8.68561999221575,60.0282415392061,0.2789555,0.774756,-0.4289933,-0.3713512
1678301094.83176,True,-0.461157883546801,-8.37988453454066,58.2421541973172,0.2687775,0.7680948,-0.4331788,-0.3874857
1678301094.89558,True,-0.491421026326592,-8.10084212388631,56.3918661011666,0.2585749,0.7627029,-0.4348744,-0.4028741
1678301094.95941,True,-0.399824937050645,-7.81347842593355,54.7429241036116,0.2474583,0.7589005,-0.4344963,-0.4171898
1678301095.02324,True,-0.271500277630099,-7.74635046634588,53.5654633993334,0.2386187,0.7586353,-0.4304719,-0.4268811
1678301095.08707,True,-0.224601506594329,-8.01537386679167,53.0907646522063,0.2378085,0.7602475,-0.426465,-0.428484
1678301095.16686,True,-0.323944071263437,-8.54516084577964,53.2994714176197,0.2433877,0.7589968,-0.430035,-0.4239766
1678301095.23069,True,-0.671239654279573,-9.31761879337596,53.6316361084588,0.2533454,0.7591174,-0.4328901,-0.4149255
1678301095.29551,True,-1.38558533427057,-10.2322718619649,53.7867783561828,0.2668419,0.7601727,-0.4318009,-0.4055625
1678301095.35835,True,-2.40185450234938,-11.1212942437308,53.3934924619616,0.2697892,0.7653903,-0.4217743,-0.4043487
1678301095.42317,True,-3.58391802286847,-11.7583202295918,53.0766398401641,0.267142,0.7666656,-0.4162652,-0.4093682
1678301095.487,True,-4.840294750972,-12.1669272262529,53.0458393142133,0.2654469,0.7659156,-0.4135188,-0.4146246
1678301095.56779,True,-6.08656237270191,-12.4734984713224,53.0427418864192,0.2631119,0.7649177,-0.4101942,-0.421205
1678301095.63162,True,-7.25429106729366,-12.7919981243157,53.5410766138097,0.2628593,0.7578071,-0.4168976,-0.4275861
1678301095.70143,True,-8.26935235097084,-13.1428883858444,53.9839405198317,0.2603248,0.753062,-0.4208879,-0.4335689
1678301095.76526,True,-9.15289157432445,-13.534507348692,54.7335138723758,0.2611727,0.7471051,-0.4268982,-0.4374708
1678301095.83008,True,-9.90473736475979,-13.9879931660165,55.4263417494187,0.2620275,0.7446595,-0.4274241,-0.4406047
1678301095.89192,True,-10.4234951089192,-14.4389764303,56.0854678244391,0.262771,0.7395658,-0.4312125,-0.4450276
1678301095.96772,True,-10.5651948423952,-14.6308883028986,56.9423558065671,0.263446,0.7294612,-0.4443577,-0.4483623
1678301096.03137,True,-10.2433207934634,-14.4236131422464,57.6170981765101,0.2637512,0.7293335,-0.4475229,-0.4452317
1678301096.0952,True,-9.52853391286864,-14.0442099044547,58.396628429845,0.2664837,0.7294707,-0.452228,-0.4385758
1678301096.15903,True,-8.65149632013561,-13.6118305727722,59.5405135183275,0.2796776,0.722559,-0.4671848,-0.4259429
